datos a fecha 2021-0-12_12-56

nombre | ultimo | diferencial | maximo | minimo | volumen | efectivo | fecha | hora


ACCIONA | 126,5000 | 1,52 | 127,0000 | 125,0000 | 52.015 | 6.557,50 | 12/01/2021 | 12:39:32
ACERINOX | 9,7560 | 0,54 | 9,8040 | 9,7140 | 132.627 | 1.295,71 | 12/01/2021 | 12:40:38
ACS | 28,7000 | 2,03 | 28,7600 | 28,1000 | 234.633 | 6.668,04 | 12/01/2021 | 12:39:44
AENA | 139,6000 | 0,50 | 140,3000 | 138,8000 | 33.667 | 4.698,92 | 12/01/2021 | 12:40:51
ALMIRALL | 11,7600 | 1,12 | 11,8900 | 11,6600 | 241.270 | 2.841,45 | 12/01/2021 | 12:40:09
AMADEUS | 56,8200 | 1,03 | 57,3800 | 56,5000 | 735.512 | 41.916,43 | 12/01/2021 | 12:40:55
ARCELORMIT. | 20,4200 | 1,39 | 20,5000 | 20,1900 | 139.866 | 2.848,50 | 12/01/2021 | 12:34:45
B.SANTANDER | 2,8580 | 1,71 | 2,8660 | 2,8285 | 18.935.529 | 53.886,19 | 12/01/2021 | 12:41:00
BA.SABADELL | 0,4171 | 5,62 | 0,4179 | 0,3988 | 30.318.517 | 12.451,87 | 12/01/2021 | 12:41:00
BANKIA | 1,6165 | 2,96 | 1,6215 | 1,5760 | 1.007.374 | 1.618,92 | 12/01/2021 | 12:39:45
BANKINTER | 4,9470 | 0,37 | 4,9820 | 4,9120 | 440.924 | 2.182,96 | 12/01/2021 | 12:41:00
BBVA | 4,2790 | 0,66 | 4,2950 | 4,2470 | 4.842.303 | 20.679,14 | 12/01/2021 | 12:40:55
CAIXABANK | 2,3780 | 3,57 | 2,3810 | 2,3130 | 5.052.228 | 11.879,48 | 12/01/2021 | 12:41:00
CIE AUTOMOT. | 22,0600 | 1,38 | 22,0600 | 21,7800 | 39.397 | 865,18 | 12/01/2021 | 12:38:14
FERROVIAL | 21,7900 | 0,51 | 21,8800 | 21,6000 | 191.690 | 4.166,98 | 12/01/2021 | 12:40:35
GRIFOLS CL.A | 24,0500 | 1,78 | 24,1700 | 23,6400 | 204.035 | 4.888,99 | 12/01/2021 | 12:40:40
IAG | 1,7580 | 3,41 | 1,7595 | 1,7120 | 7.165.160 | 12.459,36 | 12/01/2021 | 12:40:50
INDITEX | 26,3500 | 0,50 | 26,5500 | 26,2900 | 427.101 | 11.283,01 | 12/01/2021 | 12:40:25
INDRA A | 7,1850 | 1,20 | 7,2000 | 7,0900 | 246.820 | 1.765,40 | 12/01/2021 | 12:40:07
INM.COLONIAL | 7,8750 | 0,77 | 7,9000 | 7,7700 | 54.240 | 425,26 | 12/01/2021 | 12:38:38
MAPFRE | 1,6540 | 1,41 | 1,6580 | 1,6350 | 1.123.701 | 1.854,65 | 12/01/2021 | 12:39:03
MELIA HOTELS | 5,6550 | 2,82 | 5,6750 | 5,5450 | 315.891 | 1.781,26 | 12/01/2021 | 12:40:22
MERLIN | 7,6200 | 0,07 | 7,6400 | 7,5600 | 149.528 | 1.136,41 | 12/01/2021 | 12:35:17
NATURGY | 20,6800 | 2,63 | 20,6900 | 20,1300 | 246.770 | 5.039,07 | 12/01/2021 | 12:40:18
REPSOL | 8,8120 | 2,04 | 8,8460 | 8,6800 | 2.295.716 | 20.128,92 | 12/01/2021 | 12:40:44
TELEFONICA | 3,6050 | 1,44 | 3,6170 | 3,5630 | 3.254.106 | 11.693,71 | 12/01/2021 | 12:40:48
