datos a fecha 2021-0-12_12-50

nombre | ultimo | diferencial | maximo | minimo | volumen | efectivo | fecha | hora


ACCIONA | 126,7000 | 1,69 | 127,0000 | 125,0000 | 51.504 | 6.492,77 | 12/01/2021 | 12:32:20
ACERINOX | 9,7500 | 0,47 | 9,8040 | 9,7140 | 131.157 | 1.281,38 | 12/01/2021 | 12:35:17
ACS | 28,6900 | 1,99 | 28,7600 | 28,1000 | 233.208 | 6.627,14 | 12/01/2021 | 12:35:17
AENA | 139,6000 | 0,50 | 140,3000 | 138,8000 | 33.033 | 4.610,37 | 12/01/2021 | 12:35:10
ALMIRALL | 11,7800 | 1,29 | 11,8900 | 11,6600 | 239.863 | 2.824,88 | 12/01/2021 | 12:35:00
AMADEUS | 56,8800 | 1,14 | 57,3800 | 56,5000 | 734.070 | 41.834,46 | 12/01/2021 | 12:35:11
ARCELORMIT. | 20,4200 | 1,39 | 20,5000 | 20,1900 | 139.866 | 2.848,50 | 12/01/2021 | 12:34:45
B.SANTANDER | 2,8655 | 1,98 | 2,8655 | 2,8285 | 18.709.930 | 53.240,94 | 12/01/2021 | 12:35:18
BA.SABADELL | 0,4175 | 5,72 | 0,4175 | 0,3988 | 29.317.783 | 12.034,52 | 12/01/2021 | 12:35:12
BANKIA | 1,6200 | 3,18 | 1,6200 | 1,5760 | 978.276 | 1.571,80 | 12/01/2021 | 12:35:14
BANKINTER | 4,9520 | 0,47 | 4,9820 | 4,9120 | 428.820 | 2.123,05 | 12/01/2021 | 12:35:17
BBVA | 4,2840 | 0,78 | 4,2950 | 4,2470 | 4.760.877 | 20.330,50 | 12/01/2021 | 12:35:17
CAIXABANK | 2,3800 | 3,66 | 2,3800 | 2,3130 | 4.952.931 | 11.643,32 | 12/01/2021 | 12:35:17
CIE AUTOMOT. | 22,0600 | 1,38 | 22,0600 | 21,7800 | 39.396 | 865,16 | 12/01/2021 | 12:34:16
FERROVIAL | 21,7800 | 0,46 | 21,8800 | 21,6000 | 187.331 | 4.071,94 | 12/01/2021 | 12:34:35
GRIFOLS CL.A | 24,0800 | 1,90 | 24,1700 | 23,6400 | 201.391 | 4.825,38 | 12/01/2021 | 12:35:18
IAG | 1,7570 | 3,35 | 1,7570 | 1,7120 | 6.924.385 | 12.036,01 | 12/01/2021 | 12:35:18
INDITEX | 26,3400 | 0,46 | 26,5500 | 26,2900 | 425.704 | 11.246,20 | 12/01/2021 | 12:35:15
INDRA A | 7,1750 | 1,06 | 7,2000 | 7,0900 | 238.765 | 1.707,54 | 12/01/2021 | 12:34:46
INM.COLONIAL | 7,8650 | 0,64 | 7,9000 | 7,7700 | 52.149 | 408,79 | 12/01/2021 | 12:35:17
MAPFRE | 1,6550 | 1,47 | 1,6580 | 1,6350 | 1.111.866 | 1.835,07 | 12/01/2021 | 12:35:17
MELIA HOTELS | 5,6500 | 2,73 | 5,6750 | 5,5450 | 311.509 | 1.756,49 | 12/01/2021 | 12:35:18
MERLIN | 7,6200 | 0,07 | 7,6400 | 7,5600 | 149.528 | 1.136,41 | 12/01/2021 | 12:35:17
NATURGY | 20,6500 | 2,48 | 20,6500 | 20,1300 | 243.539 | 4.972,28 | 12/01/2021 | 12:34:13
REPSOL | 8,8220 | 2,15 | 8,8460 | 8,6800 | 2.271.533 | 19.915,66 | 12/01/2021 | 12:35:17
TELEFONICA | 3,6070 | 1,49 | 3,6170 | 3,5630 | 3.215.753 | 11.555,30 | 12/01/2021 | 12:35:17
