datos a fecha 2021-0-12_13-5

nombre | ultimo | diferencial | maximo | minimo | volumen | efectivo | fecha | hora


ACCIONA | 126,9000 | 1,85 | 127,0000 | 125,0000 | 52.314 | 6.595,37 | 12/01/2021 | 12:49:30
ACERINOX | 9,7400 | 0,37 | 9,8040 | 9,7140 | 137.226 | 1.340,54 | 12/01/2021 | 12:49:40
ACS | 28,6700 | 1,92 | 28,7600 | 28,1000 | 237.810 | 6.759,18 | 12/01/2021 | 12:48:16
AENA | 139,7000 | 0,58 | 140,3000 | 138,8000 | 34.337 | 4.792,52 | 12/01/2021 | 12:48:12
ALMIRALL | 11,7800 | 1,29 | 11,8900 | 11,6600 | 243.438 | 2.866,98 | 12/01/2021 | 12:47:38
AMADEUS | 56,7400 | 0,89 | 57,3800 | 56,5000 | 738.559 | 42.089,46 | 12/01/2021 | 12:49:27
ARCELORMIT. | 20,3650 | 1,12 | 20,5000 | 20,1900 | 143.124 | 2.914,91 | 12/01/2021 | 12:49:01
B.SANTANDER | 2,8570 | 1,67 | 2,8660 | 2,8285 | 19.426.812 | 55.290,12 | 12/01/2021 | 12:49:43
BA.SABADELL | 0,4179 | 5,82 | 0,4190 | 0,3988 | 31.854.029 | 13.093,38 | 12/01/2021 | 12:49:32
BANKIA | 1,6170 | 2,99 | 1,6215 | 1,5760 | 1.019.379 | 1.638,34 | 12/01/2021 | 12:48:16
BANKINTER | 4,9490 | 0,41 | 4,9820 | 4,9120 | 471.887 | 2.336,11 | 12/01/2021 | 12:49:18
BBVA | 4,2740 | 0,54 | 4,2950 | 4,2470 | 4.983.056 | 21.281,27 | 12/01/2021 | 12:49:17
CAIXABANK | 2,3750 | 3,44 | 2,3810 | 2,3130 | 5.252.765 | 12.355,70 | 12/01/2021 | 12:49:47
CIE AUTOMOT. | 22,0600 | 1,38 | 22,0600 | 21,7800 | 40.689 | 893,66 | 12/01/2021 | 12:47:48
FERROVIAL | 21,7700 | 0,42 | 21,8800 | 21,6000 | 192.956 | 4.194,55 | 12/01/2021 | 12:48:11
GRIFOLS CL.A | 24,0500 | 1,78 | 24,1700 | 23,6400 | 208.404 | 4.994,09 | 12/01/2021 | 12:46:40
IAG | 1,7545 | 3,21 | 1,7595 | 1,7120 | 7.268.847 | 12.641,38 | 12/01/2021 | 12:49:46
INDITEX | 26,2700 | 0,19 | 26,5500 | 26,2700 | 431.264 | 11.392,61 | 12/01/2021 | 12:48:26
INDRA A | 7,1700 | 0,99 | 7,2000 | 7,0900 | 251.828 | 1.801,31 | 12/01/2021 | 12:42:00
INM.COLONIAL | 7,8750 | 0,77 | 7,9000 | 7,7700 | 54.590 | 428,02 | 12/01/2021 | 12:48:33
MAPFRE | 1,6520 | 1,29 | 1,6580 | 1,6350 | 1.157.527 | 1.910,58 | 12/01/2021 | 12:49:39
MELIA HOTELS | 5,6500 | 2,73 | 5,6750 | 5,5450 | 331.697 | 1.870,60 | 12/01/2021 | 12:48:48
NATURGY | 20,6700 | 2,58 | 20,6900 | 20,1300 | 254.183 | 5.192,26 | 12/01/2021 | 12:49:47
REPSOL | 8,7900 | 1,78 | 8,8460 | 8,6800 | 2.327.591 | 20.409,43 | 12/01/2021 | 12:49:40
TELEFONICA | 3,6020 | 1,35 | 3,6170 | 3,5630 | 3.283.377 | 11.799,18 | 12/01/2021 | 12:47:53
